link,isbn,annotation,bbk,ydk,bibl_record
https://znanium.com/catalog/document?id=423566,978-5-7996-3019-5,"В учебном пособии рассматриваются понятия информации, информационной системы и информационной технологии. Приводится краткий обзор современных информационных систем, используемых в финансово-кредитной
сфере. Подробно разбираются экономические задачи. Даются задания, предназначенные для самостоятельного решения. Для студентов экономических вузов, обучающихся по специальности «Финансы и кредит». Может быть использовано слушателями-магистрантами, изучающими дисциплину «Информационные технологии в финансово-кредитной сфере».","[['3297', 'Вычислительная техника'], ['6526', 'Финансы. Денежное обращение']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['336', 'Финансы. Налоги']]","Информационные технологии в финансово-кредитной сфере : учебное пособие / Т. В. Бакунова, О. В. Кожевников, Е. А. Трофимова, М. М. Фоминых ; под общ. ред. Е. А. Трофимовой ; Министерство науки и высшего образования Российской Федерации, Уральский федеральный университет. - Екатеринбург : Изд-во Уральского ун-та, 2020. - 114 с. - ISBN 978-5-7996-3019-5. - Текст : электронный. - URL: https://znanium.com/catalog/product/1950219 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422999,978-5-7996-2018-9,"В учебном пособии показаны методы настройки нейронных сетей и распознавания образов для решения задач прикладной экономики, в том числе персептрон Розенблатта, сеть Хемминга, методы линейного программирования. Рассмотрены также методы коллективных решений. Приводятся примеры задач и упражнения. Для магистрантов, изучающих дисциплину «Нейронные сети в прикладной экономике».","[['650', 'Общ. эк. теория. Ист. эк. мысли. Эк. география. Упр-е эк-й. Эк. стат-ка. Учет. Эк анализ']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['330', 'Экономические науки в целом. Политическая экономия']]","Трофимова, Е. А. Нейронные сети в прикладной экономике : учебное пособие / Е. А. Трофимова, В. Д. Мазуров, Д. В. Гилев ; под общ. ред. Е. А . Т рофимовой ; М-во образования и науки Рос. Федерации, Урал. федер. ун-т. - Екатеринбург : Изд-во Уральского ун-та, 2017. - 96 с. - ISBN 978-5-7996-2018-9. - Текст : электронный. - URL: https://znanium.com/catalog/product/1945222 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422978,978-5-7996-1785-1,Учебное пособие подготовлено в целях формирования у магистрантов системных знаний об информационном обеспечении управленческой деятельности. Пособие дает полноценное понимание актуальных подходов к организации процесса исследований в менеджменте. Материалы пособия способствуют формированию практических навыков эмпирических исследований.,"[['6529', 'Экономика предприятия (фирмы)']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['005', 'Изучение проблем организации: методология, анализ, синтез, классификация и таксономия...']]","Костылева, Н. В. Информационное обеспечение управленческой деятельности : учебное пособие / Н. В. Костылева, Ю. А. Мальцева, Д. В. Шкурин. - Екатеринбург : Изд-во Уральского ун-та, 2016. - 148 с. - ISBN 978-5-7996-1785-1. - Текст : электронный. - URL: https://znanium.com/catalog/product/1945200 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422762,978-5-91292-273-2,"В учебнике рассматриваются теоретические подходы и практические рекомендации, включенные в понятие «цифровая грамотность». Современный интерес к осмыслению сущностных характеристик цифровой грамотности проявляется в многочисленных публикациях, изданных за последние два десятилетия.
Утверждение Национальной программы «Цифровая экономика Российской Федерации» инициировало широкое освещение в научной литературе самых разных аспектов информационной среды.
На первый план выходит цифровая компетентность специалистов, вовлеченных в цифровую экономику, определяемая набором знаний и умений, которые необходимы для безопасного и эффективного использования цифровых технологий и ресурсов информационного пространства.
Авторы выделяют четыре базовых блока в рассмотрении цифровой грамотности: информационно-коммуникационные технологии; цифровое представление информации; инструменты коммуниации в цифровой экономике; управление рисками в сфере информационной безопасности.
«Цифровая грамотность» - это учебник для студентов, преподавателей, а также для всех, кого интересуют современные информационные технологии. В доступной форме в книге изложены основные постулаты информатики. Практические задания, а также вопросы для повторения в конце каждой главы помогут читателю усвоить предложенный материал.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Сулейманов, М. Д. Цифровая грамотность : учебник / М. Д. Сулейманов, Н. С. Бардыго. - Москва : Креативная экономика, 2019. - 324 с. - ISBN 978-5-91292-273-2. - Текст : электронный. - URL: https://znanium.com/catalog/product/1942681 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422397,978-5-7996-2124-7,"Учебное пособие содержит начальные сведения о моделировании на базе искусственных нейронных сетей. Разобраны биологические принципы построения и алгоритмы создания искусственного нейрона (типа «перцептрон») и сетей на его основе. Издание рекомендуется исследователям, преподавателям, аспирантам, студентам, а также всем, кто интересуется современным состоянием дел в области искусственных нейронных сетей и моделирования.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Сергеев, А. П. Введение в нейросетевое моделирование : учебное пособие / А. П. Сергеев, Д. А. Тарасов ; под общ. ред. А. П. Сергеева. - Екатеринбург : Изд-во Уральского ун-та, 2017. - 128 с. - ISBN 978-5-7996-2124-7. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936364 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422396,978-5-7996-1813-1,"Приведены теоретические основы принципов анализа вариабельности сердечного ритма и рекомендации для исследования ее статистических, спектральных, корреляционных и нелинейных характеристик. Учебное пособие ориентировано на преподавателей и студентов-магистрантов всех специальностей ИРИТ—РтФ. Предназначено для студентов и магистрантов Института радиоэлектроники и информационных технологий — РтФ, владеющих основами математического анализа и базовым уровнем использования среды MATLAB.","[['3297', 'Вычислительная техника'], ['53', 'Клиническая медицина в целом']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Кубланов, В. С. Анализ биомедицинских сигналов в среде MATLAB : учебное пособие / В. С. Кубланов, В. И. Борисов, А. Ю. Долганов. - Екатеринбург : Изд-во Уральского ун-та, 2016. - 120 с. - ISBN 978-5-7996-1813-1. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936363 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422395,978-5-7996-2693-8,"Пособие содержит основные сведения по системе программирования промышленных контроллеров серии Simatic S7-200, поясняет формат и назначение его основных команд. Здесь же рассмотрены примеры задач и предложены задания для самостоятельной работы, которые могут выполняться на специальных стендах, представляющих собой упрощенные макеты электроприводов и электрооборудования станков с ЧПУ, или на программных эмуляторах контроллера и объектов промышленной автоматики. Издание ориентировано на современные технологии автоматизации с применением программируемых логических контроллеров и содержит оригинальный материал.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Нестеров, К. Е. Программирование промышленных контроллеров : учебно-методическое пособие / К. Е. Нестеров, А. М. Зюзев. - Екатеринбург : Изд-во Уральского ун-та, 2019. - 96 с. - ISBN 978-5-7996-2693-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936362 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422394,978-5-7996-1949-7,Раздел 1 содержит сведения о способах обработки списков средствами программы MS Excel 2013 и задания для выполнения лабораторной работы по данной теме. Раздел 2 содержит основные сведения о решении оптимизационных задач в среде программы MS Excel 2013 и задания для выполнения лабораторной работы по данной теме. Раздел 3 содержит сведения о решении задач с использованием финансовых функций MS Excel и задания для выполнения лабораторной работы по данной теме. Раздел 4 содержит основные сведения о возможностях языка программирования Visual Basic for Application и задания для выполнения лабораторных работ по программированию. Раздел 5 содержит основные сведения о работе с формами в среде программы MS Excel 2013 и задания для выполнения лабораторной работы по разработке формы. Пособие предназначено для студентов четвертого курса Высшей школы экономики и менеджмента. Составлено в соответствии с программой курса «Программирование и решение сложных задач в Excel» и может быть использовано для самостоятельного изучения данного курса.,"[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Петрова, В. А. Программирование и решение сложных задач в Excel : учебное пособие / В. А. Петрова. - Екатеринбург : Изд-во Уральского ун-та, 2016. - 88 с. - ISBN 978-5-7996-1949-7. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936361 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422393,978-5-7996-1942-8,"В учебном издании рассмотрены алгоритмические основы построения и анимации трехмерных изображений. Изучается программный интерфейс, связывающий прикладную программу и систему компьютерной графики. Изложены основные математические и программные принципы создания трехмерных объектов с использованием графической библиотеки OpenGL. Сформулированы цели лабораторных работ, изложена необходимая информация для разработки графических программ визуализации анимационных трехмерных сцен. Учебно-методическое пособие предназначено для бакалавров.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Папуловская, Н. В. Математические основы программирования трехмерной графики : учебно-методическое пособие / Н. В. Папуловская. - Екатеринбург : Изд-во Уральского ун-та, 2016. - 112 с. - ISBN 978-5-7996-1942-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936360 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422392,978-5-7996-3308-0,"Рассматривается использование биомедицинских сигналов при реализации интеллектуальных мультимодальных интерфейсов. Информационные характеристики биомедицинских сигналов, модулирующихся функциональными процессами организма, могут быть использованы в приложениях, с помощью которых требуется получать данные о психофизическом состоянии человека и производить количественную оценку изменения состояния человека.
Разработка интеллектуальных мультимодальных интерфейсов рассматривается на примере интерфейсов мозг-компьютер. В качестве входных модальностей интерфейса используется сигнал ЭЭГ и данные с 3-осевого акселерометра, размещенного на голове человека. В работе представлены материалы и методы, связанные с архитектурой мультимодальных интерфейсов, применением методов обработки сигналов и методов машинного обучения для формирования метрик изменения функционального состояния человека, а также спецификации для работы с облачным сервисом Google Fit для хранения данных приложений. Отдельное внимание уделено проектированию интерфейсов мозг-компьютер с применением открытых программных продуктов BCI2000 и Open Vibe.","[['3297', 'Вычислительная техника'], ['536', 'Медицинская радиология и рентгенология']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['616', 'Патология. Клиническая медицина']]","Сысков, А. М. Интеллектуальные мультимодальные интерфейсы для обработки биомедицинских сигналов : практикум / А. М. Сысков, В. И. Борисов ; М-во науки и высш. образования РФ. - Екатеринбург : Изд-во Уральского ун-та, 2021. - 78 с. - ISBN 978-5-7996-3308-0. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936359 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=422390,978-5-7996-3257-1,"На примере языка программирования C4—+17 вводятся основные концепции структурного программирования. Рассматривается широкий спектр тем: базовые конструкции C+—+, концепция неопределенного поведения,
управление памятью, форматы представления чисел, концепция объекта, си-строки, конечные автоматы, простые структуры данных и алгоритмы сортировки, введение в вопросы организации процесса разработки
программ. Для студентов бакалавриата, обучающихся по направлениям «Механика и математическое моделирование» и «Прикладная математика».","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Кувшинов, Д. Р. Основы программирования: язык С++ : учебное пособие / Д. Р. Кувшинов, С. И. Осипов ; под общ. ред. Д. Р. Кувшинова ; Министерство науки и высшего образования Российской Федерации, Уральский федеральный университет. - Екатеринбург : Изд-во Уральского ун-та, 2021. - 490 с. - ISBN 978-5-7996-3257-1. - Текст : электронный. - URL: https://znanium.com/catalog/product/1936357 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
